name,cuisines,rating,price_for_two,address,query,latitude,longitude
Pints Of Wisdom,"North Indian, Bar Food, Chinese, Biryani, Fast Food",New,"₹1,000 for two","Bandra Kurla Complex, Mumbai","Pints Of Wisdom Bandra Kurla Complex, Mumbai",19.06346,72.85822
Dobaraa,"North Indian, Continental, Salad, Desserts",4.6,"₹1,200 for two","Phoenix Palladium, Lower Parel, Mumbai","Dobaraa Phoenix Palladium, Lower Parel, Mumbai",18.9949,72.82454
Legume,"Street Food, North Indian, Italian",4.2,"₹1,000 for two","Phoenix Palladium, Lower Parel, Mumbai","Legume Phoenix Palladium, Lower Parel, Mumbai",18.9949,72.82454
Mitron,"North Indian, European, Continental, Asian, Sushi, Chinese, Desserts, Beverages",4.2,"₹2,000 for two","Linking Road, Bandra West, Mumbai","Mitron Linking Road, Bandra West, Mumbai",19.05454,72.83754
Chala Basuya Bar & Kitchen,"North Indian, Mughlai, Kebab, Chinese, Seafood, Biryani, Thai, Sichuan",4.1,"₹1,200 for two","Dadar West, Mumbai","Chala Basuya Bar & Kitchen Dadar West, Mumbai",19.03179,72.84051
Cha,"Asian, Chinese",4.5,"₹1,500 for two","Palladium Mall, Lower Parel, Mumbai","Cha Palladium Mall, Lower Parel, Mumbai",18.99477,72.8246
Julius,"European, Continental, Mediterranean",4.6,"₹2,000 for two","Phoenix Palladium, Lower Parel, Mumbai","Julius Phoenix Palladium, Lower Parel, Mumbai",18.9949,72.82454
Brasserie 1935 Kitchen & Bar,"North Indian, Chinese, Asian, Continental, Mexican, Seafood, Brasserie",4.1,"₹1,800 for two","Sion, Mumbai","Brasserie 1935 Kitchen & Bar Sion, Mumbai",19.04045,72.86505
POMPA,Mexican,New,"₹2,500 for two","Linking Road, Bandra West, Mumbai","POMPA Linking Road, Bandra West, Mumbai",19.05454,72.83754
Epitome,"Italian, North Indian, Asian, Arabian, Sushi, Desserts, Beverages",4.1,"₹2,500 for two","Lower Parel, Mumbai","Epitome Lower Parel, Mumbai",18.99611,72.82786
Pop Tate's,"Italian, Fast Food, Pizza, Chinese, Continental, Asian, Seafood, Beverages",4.4,"₹1,300 for two","Bandra Kurla Complex, Mumbai","Pop Tate's Bandra Kurla Complex, Mumbai",19.07245,72.87021
The Nines,"Continental, Asian, North Indian, Pizza, Italian, Desserts, Sushi",4.3,"₹2,000 for two","Juhu, Mumbai","The Nines Juhu, Mumbai",19.11066,72.82516
Poult,"Burger, Fast Food, American",4.3,"₹1,000 for two","Palladium Mall, Lower Parel, Mumbai","Poult Palladium Mall, Lower Parel, Mumbai",18.99477,72.8246
All Saints,"Continental, Italian, Salad, Sushi, Chinese, Desserts, Bar Food, Asian",4.0,"₹1,500 for two","Khar, Mumbai","All Saints Khar, Mumbai",19.06805,72.83757
Earth Cafe @ BKC,"Cafe, Coffee, Continental, Pizza, Pasta, Sandwich, Wraps, Desserts",4.4,"₹1,700 for two","Bandra Kurla Complex, Mumbai","Earth Cafe @ BKC Bandra Kurla Complex, Mumbai",19.0609,72.86481
Yuhi,"Asian, Chinese, Sushi, Italian, North Indian, Biryani, Pizza, Desserts",4.2,"₹1,800 for two","Powai, Mumbai","Yuhi Powai, Mumbai",19.12315,72.90933
Trèsind,Modern Indian,4.9,"₹8,000 for two","Bandra Kurla Complex, Mumbai","Trèsind Bandra Kurla Complex, Mumbai",19.06419,72.85824
Nxt Lvl,"North Indian, Continental, Bar Food, Desserts",4.2,"₹1,800 for two","Wagle Estate, Thane West, Thane","Nxt Lvl Wagle Estate, Thane West, Thane",19.18931,72.95244
August Cafe,"Cafe, Beverages, Italian, Continental, Asian, Healthy Food, Mediterranean, Desserts",4.9,"₹1,200 for two","Khar, Mumbai","August Cafe Khar, Mumbai",19.07118,72.83325
Cray Craft,"Modern Indian, North Indian, Chinese, Pizza, Asian",4.5,"₹1,000 for two","Marol, Mumbai","Cray Craft Marol, Mumbai",19.11202,72.88355
U Turn,"North Indian, Chinese, Continental, Bar Food, Seafood",4.2,"₹1,200 for two","Khar, Mumbai","U Turn Khar, Mumbai",19.07111,72.83997
Eve,"Asian, Continental, North Indian, Sushi, Pizza, Coffee, Beverages",4.7,"₹1,200 for two","Powai, Mumbai","Eve Powai, Mumbai",19.12315,72.90933
Arggo's,"Italian, Asian, Beverages, Desserts, Pizza, Pasta, Bar Food, Coffee",4.2,"₹2,000 for two","Linking Road, Bandra West, Mumbai","Arggo's Linking Road, Bandra West, Mumbai",19.05454,72.83754
Bastian,"Asian, Chinese, Continental, Beverages, Desserts",4.5,"₹3,500 for two","Linking Road, Bandra West, Mumbai","Bastian Linking Road, Bandra West, Mumbai",37.15208,-81.15
Ishaara,"North Indian, Mughlai, Kebab, Biryani",4.7,"₹1,900 for two","Palladium Mall, Lower Parel, Mumbai","Ishaara Palladium Mall, Lower Parel, Mumbai",18.99477,72.8246
Blah!,"Continental, Bar Food, Fast Food, Asian, Beverages",4.1,"₹2,000 for two","Bandra Kurla Complex, Mumbai","Blah! Bandra Kurla Complex, Mumbai",19.06375,72.86315
Lord Of The Drinks,"Fast Food, Italian, Chinese, North Indian, Bar Food, Finger Food, Beverages",4.5,"₹2,500 for two","Worli, Mumbai","Lord Of The Drinks Worli, Mumbai",19.00586,72.82673
Bustle,"North Indian, Chinese, Italian, Continental, Desserts, Shake, Beverages",4.1,"₹1,900 for two","Borivali West, Mumbai","Bustle Borivali West, Mumbai",19.23496,72.85511
KOKO,"Asian, Sushi, Desserts, Chinese, Beverages",4.7,"₹3,500 for two","Kamala Mills Compound, Mumbai","KOKO Kamala Mills Compound, Mumbai",19.00267,72.82775
Demy,"Sushi, Italian, Continental, North Indian, Pizza, Asian, Desserts, Beverages",4.4,"₹2,000 for two","Lower Parel, Mumbai","Demy Lower Parel, Mumbai",18.9968,72.83053
Freny's All Day Dining & Bar,"Modern Indian, Italian, Pizza, Pasta",3.9,"₹1,000 for two","Linking Road, Bandra West, Mumbai","Freny's All Day Dining & Bar Linking Road, Bandra West, Mumbai",19.07615,72.83445
3 Stories - All Day Bar,"Asian, Continental, North Indian, Pizza, Beverages",4.0,"₹1,500 for two","Juhu, Mumbai","3 Stories - All Day Bar Juhu, Mumbai",19.11466,72.83659
The Tanjore Tiffin Room,"Chettinad, South Indian, Biryani, Beverages",4.8,"₹1,800 for two","Pali Hill, Bandra West, Mumbai","The Tanjore Tiffin Room Pali Hill, Bandra West, Mumbai",19.0716,72.82478
Gigi,"European, Japanese, Pizza, Pasta, Beverages, Desserts",4.0,"₹2,500 for two","Linking Road, Bandra West, Mumbai","Gigi Linking Road, Bandra West, Mumbai",19.05454,72.83754
Veranda,"North Indian, Chinese, Sandwich, Pasta, Desserts, Beverages",4.4,"₹2,000 for two","Pali Hill, Bandra West, Mumbai","Veranda Pali Hill, Bandra West, Mumbai",19.06217,72.82969
Bawri,North Indian,3.9,"₹3,000 for two","Bandra Kurla Complex, Mumbai","Bawri Bandra Kurla Complex, Mumbai",19.05979,72.85679
Mamagoto,"Asian, Sushi, Thai, Japanese, Salad, Desserts, Chinese",4.3,"₹1,200 for two","Hill Road, Bandra West, Mumbai","Mamagoto Hill Road, Bandra West, Mumbai",19.05498,72.82831
Blabber All Day,"Asian, Italian, Pasta, North Indian, Pizza, Chinese, Cafe, Beverages",4.5,"₹1,800 for two","Juhu, Mumbai","Blabber All Day Juhu, Mumbai",19.11472,72.83641
Noa By The Nutcracker,"Sandwich, Fast Food, Healthy Food, Desserts, Coffee, Continental, American, European",New,₹600 for two,"Linking Road, Bandra West, Mumbai","Noa By The Nutcracker Linking Road, Bandra West, Mumbai",19.05005,72.82647
Baliboo,"North Indian, Chinese, Korean, Pasta, Continental, Italian, Coffee, Beverages",4.3,"₹2,100 for two","Goregaon East, Mumbai","Baliboo Goregaon East, Mumbai",19.17017,72.86023
Millo,"Mexican, Italian, Asian, Modern Indian, Sushi, Desserts, Beverages",4.3,"₹2,000 for two","Kamala Mills Compound, Mumbai","Millo Kamala Mills Compound, Mumbai",19.00387,72.8276
Takumi,"Salad, Asian, Japanese, Chinese, Desserts, Thai, Sushi, Vietnamese",4.3,"₹1,500 for two","Santacruz West, Mumbai","Takumi Santacruz West, Mumbai",19.08303,72.83895
3 Wise Monkeys,"Chinese, Thai, Italian, Continental, Sichuan",4.0,"₹2,000 for two","Khar, Mumbai","3 Wise Monkeys Khar, Mumbai",19.07068,72.83955
Oriv Resto - Cafe - Bar,"North Indian, Chinese, Oriental, Continental, Italian, Fast Food, Wraps, Kebab",4.3,"₹1,400 for two","Borivali West, Mumbai","Oriv Resto - Cafe - Bar Borivali West, Mumbai",19.24222,72.84494
The Little Easy,"American, Finger Food, Italian, Pizza, Kebab, Seafood, Beverages",4.3,"₹1,700 for two","Linking Road, Bandra West, Mumbai","The Little Easy Linking Road, Bandra West, Mumbai",19.0603,72.8362
Amazonia,"Chinese, Asian, Japanese, Sushi, Italian, Korean, Salad, Seafood",3.6,"₹1,800 for two","Bandra Kurla Complex, Mumbai","Amazonia Bandra Kurla Complex, Mumbai",19.05952,72.86514
Masala Library,North Indian,4.3,"₹4,000 for two","First International Financial Centre, Bandra Kurla Complex, Mumbai","Masala Library First International Financial Centre, Bandra Kurla Complex, Mumbai",19.06941,72.86959
One8 Commune,"Finger Food, Asian, European, Mediterranean, Desserts",4.0,"₹2,500 for two","Juhu, Mumbai","One8 Commune Juhu, Mumbai",19.11233,72.8267
Caffe Allora,"Pizza, Italian, Pasta",4.5,"₹1,200 for two","Phoenix Palladium, Lower Parel, Mumbai","Caffe Allora Phoenix Palladium, Lower Parel, Mumbai",18.9949,72.82454
Silly,"Continental, Salad, North Indian, Pizza, Asian, Desserts, Coffee, Beverages",4.0,"₹2,500 for two","Khar, Mumbai","Silly Khar, Mumbai",19.06821,72.83776
China Bistro,"Chinese, Asian, Sushi, Japanese, Korean, Thai, Seafood, Desserts",4.5,"₹1,500 for two","Bandra Kurla Complex, Mumbai","China Bistro Bandra Kurla Complex, Mumbai",19.06701,72.86645
Razzberry Rhinoceros,"Mediterranean, Italian, North Indian, Continental, Beverages, Desserts",4.0,"₹2,000 for two","Juhu, Mumbai","Razzberry Rhinoceros Juhu, Mumbai",19.10327,72.82525
Fresh Catch,"Goan, Seafood, Konkan, Desserts",4.4,"₹1,800 for two","Hill Road, Bandra West, Mumbai","Fresh Catch Hill Road, Bandra West, Mumbai",19.05498,72.82831
Donna Deli,"Asian, Italian, Salad, Chinese, Pizza, Fast Food",4.4,"₹1,700 for two","Linking Road, Bandra West, Mumbai","Donna Deli Linking Road, Bandra West, Mumbai",19.05454,72.83754
SAQI,"North Indian, Italian, Asian, Chinese, Pizza, Continental, Desserts, Bar Food",4.1,"₹1,800 for two","Khar, Mumbai","SAQI Khar, Mumbai",19.0728,72.83197
Doolally Taproom,"Finger Food, American, Italian, Pizza, Fast Food, Beverages, Desserts",4.8,"₹2,500 for two","Veera Desai Area, Mumbai","Doolally Taproom Veera Desai Area, Mumbai",19.0492,72.8287
Megumi,"Japanese, Asian, Sushi, Beverages, Seafood",4.0,"₹3,500 for two","Santacruz West, Mumbai","Megumi Santacruz West, Mumbai",19.08303,72.83895
Someplace Else,"North Indian, Continental, Asian, Sushi",4.2,"₹2,500 for two","Jio World Drive, Bandra Kurla Complex, Mumbai","Someplace Else Jio World Drive, Bandra Kurla Complex, Mumbai",19.05289,72.84931
Raasta,"Continental, Chinese, Italian, Fast Food, Beverages",4.2,"₹2,000 for two","Khar, Mumbai","Raasta Khar, Mumbai",19.0681,72.83802
Yazu - Pan Asian Supper Club,"Thai, Korean, Japanese, Chinese, Sichuan, Asian, Sushi, Desserts",4.6,"₹1,800 for two","Andheri Lokhandwala, Andheri West, Mumbai","Yazu - Pan Asian Supper Club Andheri Lokhandwala, Andheri West, Mumbai",19.14006,72.82913
Eight,"Asian, Japanese, Sushi",4.6,"₹3,500 for two","Palladium Mall, Lower Parel, Mumbai","Eight Palladium Mall, Lower Parel, Mumbai",18.99477,72.8246
Fairy Tale - SIP DINE DANCE,"North Indian, Biryani, Kebab, Chinese, Beverages, Continental, Pizza, Pasta",3.6,"₹1,200 for two","Borivali West, Mumbai","Fairy Tale - SIP DINE DANCE Borivali West, Mumbai",19.22912,72.85367
BKC Dive.,"Bar Food, North Indian, Chinese, Continental, Pizza, Fast Food, Biryani, Desserts",4.3,"₹1,300 for two","Bandra Kurla Complex, Mumbai","BKC Dive. Bandra Kurla Complex, Mumbai",19.07245,72.87021
Lucy Lou,"Modern Indian, Asian, Turkish",4.2,"₹1,500 for two","Mahakali, Mumbai","Lucy Lou Mahakali, Mumbai",19.12877,72.8688
Asia Kitchen By Mainland China,"Chinese, Sushi, Asian, Rolls, Seafood, Desserts, Beverages",4.5,"₹1,600 for two","Bandra Kurla Complex, Mumbai","Asia Kitchen By Mainland China Bandra Kurla Complex, Mumbai",19.07277,72.87025
Silk Route,"North Indian, Continental, Asian, Bar Food, Italian, Middle Eastern, Beverages",4.2,"₹1,400 for two","Santacruz West, Mumbai","Silk Route Santacruz West, Mumbai",19.08303,72.83895
Arbab,"Lebanese, Mediterranean, Arabian, Shawarma, Sandwich, Middle Eastern",4.0,"₹1,400 for two","Linking Road, Bandra West, Mumbai","Arbab Linking Road, Bandra West, Mumbai",19.06246,72.83557
Pleo,"Pizza, Italian, Asian, Continental, European, North Indian, Sushi, Desserts",4.3,"₹1,500 for two","Bandra East, Mumbai","Pleo Bandra East, Mumbai",19.06395,72.84943
Plum by Bent Chair,"Asian, Sushi, Desserts",4.5,"₹3,000 for two","Worli, Mumbai","Plum by Bent Chair Worli, Mumbai",19.00578,72.82658
Fingerprint Kitchen & Bar,"Continental, Japanese, North Indian, Biryani, Chinese, Kebab, Asian, Beverages",New,"₹1,400 for two","Malad West, Mumbai","Fingerprint Kitchen & Bar Malad West, Mumbai",19.19742,72.83403
Poco Loco,"Mexican, Spanish, Continental, Pizza, Salad, Desserts, Beverages, Fast Food",4.3,"₹3,000 for two","Khar, Mumbai","Poco Loco Khar, Mumbai",19.07498,72.82666
Shy,"Continental, Asian, Italian, North Indian, Chinese, Desserts",4.4,"₹1,800 for two","Cubic Mall, Chembur, Mumbai","Shy Cubic Mall, Chembur, Mumbai",19.04554,72.90325
Therapy Cocktail Bar,Bar Food,4.1,"₹1,000 for two","Khar, Mumbai","Therapy Cocktail Bar Khar, Mumbai",19.24559,72.84838
LVEL - Bar & Dinner,"Continental, Italian, North Indian, Mexican, Desserts, Beverages",4.2,"₹1,200 for two","Sakinaka, Mumbai","LVEL - Bar & Dinner Sakinaka, Mumbai",19.10799,72.88791
Nomad Pizza,"Pizza, Italian, French, American, Turkish, Desserts, Coffee, Tea",4.2,"₹2,000 for two","Linking Road, Bandra West, Mumbai","Nomad Pizza Linking Road, Bandra West, Mumbai",19.05558,72.83576
Tanatan,"North Indian, Mughlai, South Indian, Seafood, Biryani, Desserts, Beverages",4.6,"₹1,800 for two","Dadar Shivaji Park, Mumbai","Tanatan Dadar Shivaji Park, Mumbai",19.02508,72.84013
Out Of The Blue,"European, Continental, Italian, Fast Food",4.1,"₹2,000 for two","Le Sutra Hotel, Khar, Mumbai","Out Of The Blue Le Sutra Hotel, Khar, Mumbai",19.0718,72.82541
Bayleaf Cafe,"Cafe, Coffee, Healthy Food, Fast Food, North Indian, Italian, Asian, Desserts",4.2,"₹1,000 for two","Juhu, Mumbai","Bayleaf Cafe Juhu, Mumbai",19.10699,72.82606
Neuma,"Asian, Continental, European, Mediterranean, Salad, Sandwich, Desserts, Beverages",3.9,"₹2,500 for two","Colaba, Mumbai","Neuma Colaba, Mumbai",18.9154,72.82592
The Bombay Cartel,"Sushi, Pizza, North Indian, Pasta, Fast Food, Healthy Food, Thai, Continental",4.0,"₹1,800 for two","Juhu, Mumbai","The Bombay Cartel Juhu, Mumbai",18.97526,72.80641
Aegyo Cafe & Bakehouse,"Cafe, Coffee, Korean, Desserts, Tea, Asian, Hot Pot, Bubble Tea",3.7,₹900 for two,"Khar, Mumbai","Aegyo Cafe & Bakehouse Khar, Mumbai",19.0669,72.83104
Rude Lounge,"North Indian, Italian, Chinese, Bar Food, Fast Food, Biryani",4.1,"₹1,900 for two","Supreme Business Park, Powai, Mumbai","Rude Lounge Supreme Business Park, Powai, Mumbai",19.11142,72.9071
Zaika Fun Dining | Club Aquaria,"North Indian, Chinese, Continental, Mughlai, Biryani, Sichuan, Shake, Beverages",4.3,"₹1,400 for two","Borivali West, Mumbai","Zaika Fun Dining | Club Aquaria Borivali West, Mumbai",19.2403,72.84848
Tango Tamari,"Japanese, Asian, Sushi",New,"₹2,000 for two","Hotel King's International, Juhu, Mumbai","Tango Tamari Hotel King's International, Juhu, Mumbai",19.10427,72.82645
Gin Gin,"Continental, Italian, Chinese, Oriental, Mexican, Sushi, Salad",New,"₹1,800 for two","4 Bungalows, Mumbai","Gin Gin 4 Bungalows, Mumbai",19.12922,72.82509
Balmy - All Day Cafe & Bar,"Asian, Continental, Italian, Sushi, Desserts",4.2,"₹1,800 for two","Mahalaxmi, Mumbai","Balmy - All Day Cafe & Bar Mahalaxmi, Mumbai",18.9752,72.8061
Bombay Brasserie,"North Indian, South Indian, Biryani, Desserts, Beverages",4.6,"₹1,800 for two","Colaba, Mumbai","Bombay Brasserie Colaba, Mumbai",19.10454,72.87069
Sante Spa Cuisine,"Continental, Healthy Food, Asian, Italian, Desserts, Cafe, Beverages",4.4,"₹2,100 for two","Bandra Kurla Complex, Mumbai","Sante Spa Cuisine Bandra Kurla Complex, Mumbai",19.06653,72.86634
Balsa,"North Indian, Chinese, Mexican, Beverages",4.1,"₹1,800 for two","Lower Parel, Mumbai","Balsa Lower Parel, Mumbai",19.00479,72.82594
The Nutcracker,"Cafe, Beverages, American, European, Salad, Desserts",4.4,₹950 for two,"Reclamation, Bandra West, Mumbai","The Nutcracker Reclamation, Bandra West, Mumbai",19.05005,72.82647
Mool: Kitchen & Bar,"Modern Indian, Beverages, Desserts",New,"₹1,000 for two","Fort, Mumbai","Mool: Kitchen & Bar Fort, Mumbai",18.93085,72.83383
Si Nonna’s – The Original Sourdough Pizza,"Pizza, Italian",4.6,"₹1,200 for two","Fun Republic Mall, Veera Desai Area, Mumbai","Si Nonna’s – The Original Sourdough Pizza Fun Republic Mall, Veera Desai Area, Mumbai",19.0028,72.8286
The Bliss Cuisine & Libations,"North Indian, Chinese, Kebab, Pizza, Continental, Biryani, Salad, Desserts",4.5,"₹1,600 for two","Borivali West, Mumbai","The Bliss Cuisine & Libations Borivali West, Mumbai",19.24235,72.84454
KOA - Cafe & Bar,"Pizza, North Indian, Sushi, Asian, Chinese, Burger, Desserts, Beverages",4.2,"₹1,700 for two","Korum Mall, Khopat, Thane West, Thane","KOA - Cafe & Bar Korum Mall, Khopat, Thane West, Thane",19.20201,72.96566
Tiger Yaki,"Asian, Japanese, Sandwich",4.0,₹500 for two,"Pali Hill, Bandra West, Mumbai","Tiger Yaki Pali Hill, Bandra West, Mumbai",19.06221,72.82454
Mannyogi,"North Indian, Chinese, Mexican, Pizza, Pasta, Desserts, Shake, Beverages",4.0,"₹1,000 for two","Kandivali West, Mumbai","Mannyogi Kandivali West, Mumbai",19.20279,72.85092
The Lantern Bar At Kandeel,"Chinese, North Indian, Kebab, Mughlai, Seafood, Pasta, Bar Food, Beverages",4.4,"₹1,500 for two","Fort, Mumbai","The Lantern Bar At Kandeel Fort, Mumbai",18.93029,72.83154
The Sassy Spoon,"Chinese, Mexican, Salad, Burger, Desserts, Beverages",4.4,"₹2,500 for two","Powai, Mumbai","The Sassy Spoon Powai, Mumbai",19.12042,72.90899
Fiona by Radisson Blu,"North Indian, Continental, Asian, Italian, Desserts, Beverages",4.2,"₹3,500 for two","Marol, Mumbai","Fiona by Radisson Blu Marol, Mumbai",19.11061,72.87879
Global Fusion,"Chinese, Desserts",4.4,"₹3,000 for two","Times Square, Marol, Mumbai","Global Fusion Times Square, Marol, Mumbai",40.75657,-73.98706
Lyla,"Mexican, Beverages, Desserts, American",New,"₹2,500 for two","Bandra Kurla Complex, Mumbai","Lyla Bandra Kurla Complex, Mumbai",19.05979,72.85679
The Flying Saucer,"Bar Food, Continental, North Indian, Pizza, Pasta, Desserts, Beverages",4.1,"₹2,500 for two","Andheri Lokhandwala, Andheri West, Mumbai","The Flying Saucer Andheri Lokhandwala, Andheri West, Mumbai",19.13946,72.83203
Episode One,"Chinese, Asian, Italian, North Indian, Sushi, Fast Food, Bar Food, Beverages",4.4,"₹1,600 for two","Powai, Mumbai","Episode One Powai, Mumbai",19.12038,72.90924
Hitchki,"North Indian, Bar Food, Asian, Continental, Desserts, Beverages",4.5,"₹2,000 for two","First International Financial Centre, Bandra Kurla Complex, Mumbai","Hitchki First International Financial Centre, Bandra Kurla Complex, Mumbai",19.06941,72.86959
Grey Cravings,"North Indian, Asian, Lebanese, Turkish, Salad, Continental, Desserts",4.3,"₹2,500 for two","Chembur, Mumbai","Grey Cravings Chembur, Mumbai",19.04605,72.90791
AB's - Absolute Barbecues,"Biryani, BBQ, Kebab, North Indian, Desserts",4.4,"₹1,750 for two","Powai, Mumbai","AB's - Absolute Barbecues Powai, Mumbai",19.12274,72.89135
Veronica's,"Cafe, Fast Food, Beverages",3.0,"₹1,500 for two","Bandstand, Bandra West, Mumbai","Veronica's Bandstand, Bandra West, Mumbai",19.04529,72.81914
CinCin,"Italian, European, Pasta, Pizza",4.3,"₹3,500 for two","Bandra East, Mumbai","CinCin Bandra East, Mumbai",19.06117,72.86266
Captain's Brew,"North Indian, Continental, Italian, Asian",New,"₹1,500 for two","Wagle Estate, Thane West, Thane","Captain's Brew Wagle Estate, Thane West, Thane",19.19044,72.95483
The Bluebop Cafe,"Italian, Burger, Mexican, Pizza, Continental, American, Desserts, Beverages",4.5,"₹1,700 for two","Khar, Mumbai","The Bluebop Cafe Khar, Mumbai",19.07254,72.83444
Joey's Pizza,"Pizza, Fast Food, Salad",4.5,₹500 for two,"Malad West, Mumbai","Joey's Pizza Malad West, Mumbai",19.17937,72.83723
Boojee Cafe,"Cafe, Coffee, Beverages, Continental, Bakery, Burger, Sandwich, Desserts",4.2,"₹1,200 for two","Carter Road, Bandra West, Mumbai","Boojee Cafe Carter Road, Bandra West, Mumbai",19.06106,72.82346
La Cena By Di Mora,"Asian, Mexican, Pizza, Italian, Continental, Spanish, Finger Food, Desserts",4.0,"₹1,800 for two","Wagle Estate, Thane West, Thane","La Cena By Di Mora Wagle Estate, Thane West, Thane",19.18931,72.95244
Pa Pa Ya,"Asian, Japanese, Thai, Chinese, Sushi, Desserts",4.4,"₹1,500 for two","Inorbit Mall, Malad West, Mumbai","Pa Pa Ya Inorbit Mall, Malad West, Mumbai",19.17409,72.84422
Warehouse Kitchenbar,"Bar Food, Continental, North Indian, Chinese, Asian, Seafood, Desserts, Beverages",4.4,"₹1,900 for two","Malad West, Mumbai","Warehouse Kitchenbar Malad West, Mumbai",19.1749,72.83761
Yauatcha,"Asian, Seafood, Chinese, Sichuan, Desserts, Beverages, Cantonese",4.5,"₹3,000 for two","Bandra Kurla Complex, Mumbai","Yauatcha Bandra Kurla Complex, Mumbai",19.06478,72.86604
Izumi,"Japanese, Sushi, Salad, Desserts, Beverages",4.3,"₹1,800 for two","Linking Road, Bandra West, Mumbai","Izumi Linking Road, Bandra West, Mumbai",19.05454,72.83754
Chili's American Grill & Bar,"American, Mexican, Burger, Tex-Mex, Healthy Food",4.3,"₹1,900 for two","Ventura Building, Powai, Mumbai","Chili's American Grill & Bar Ventura Building, Powai, Mumbai",19.08556,72.88783
True Tramm Trunk,"Chinese, Continental, Thai, Japanese, Sushi, Fast Food, Beverages",4.3,"₹2,500 for two","Chandivali, Mumbai","True Tramm Trunk Chandivali, Mumbai",19.11495,72.89484
Shaadi Mubarak,"North Indian, Chinese",4.4,"₹2,000 for two","Oshiwara, Andheri West, Mumbai","Shaadi Mubarak Oshiwara, Andheri West, Mumbai",19.14861,72.83273
P.F. Chang's,"Asian, Sushi, Desserts",4.1,"₹2,200 for two","Lower Parel, Mumbai","P.F. Chang's Lower Parel, Mumbai",19.00229,72.82815
Burma Burma - Fort,"Burmese, Asian, Salad, Ice Cream, Desserts, Bubble Tea",4.7,"₹1,800 for two","Fort, Mumbai","Burma Burma - Fort Fort, Mumbai",18.92949,72.83204
SAZ - American Brasserie,"Continental, Italian, Street Food, Fast Food, Desserts, Beverages",4.5,"₹2,000 for two","Jio World Drive, Bandra Kurla Complex, Mumbai","SAZ - American Brasserie Jio World Drive, Bandra Kurla Complex, Mumbai",19.05404,72.85119
Leopold Cafe & Bar,"North Indian, Chinese, Continental, Seafood, Sandwich, Desserts, Beverages",4.2,"₹2,500 for two","Colaba, Mumbai","Leopold Cafe & Bar Colaba, Mumbai",18.92281,72.83171
The Game Ranch,"Pizza, North Indian, Chinese, Burger, Italian",4.3,"₹1,600 for two","Malad West, Mumbai","The Game Ranch Malad West, Mumbai",19.18031,72.83231
Mulk,"Street Food, North Indian, Kebab, Mughlai, Biryani, BBQ, Beverages, Desserts",4.6,"₹1,800 for two","Veera Desai Area, Mumbai","Mulk Veera Desai Area, Mumbai",19.12928,72.83771
Banjara - Goldfinch Hotel,"Bengali, North Indian, South Indian, Asian, Continental, Mangalorean, Desserts, Beverages",4.4,"₹4,000 for two","Goldfinch Hotel, Mahakali, Mumbai","Banjara - Goldfinch Hotel Goldfinch Hotel, Mahakali, Mumbai",19.11976,72.87017
Glocal Junction,"Continental, North Indian, Biryani, Asian, Pizza, Pasta, Desserts, Beverages",4.5,"₹1,800 for two","Worli, Mumbai","Glocal Junction Worli, Mumbai",19.13792,72.8328
The Bombay Canteen,"Modern Indian, Bar Food, Beverages",4.7,"₹1,700 for two","Kamala Mills Compound, Mumbai","The Bombay Canteen Kamala Mills Compound, Mumbai",19.00324,72.82758
