name,cuisines,rating,price_for_two,address,query,latitude,longitude
Younion,"Finger Food, Finger Food, Continental, European, Chinese, North Indian, Italian, Fast Food, Desserts",4.1,"₹2,000 for two","Kamala Mills Compound, Mumbai","Younion Kamala Mills Compound, Mumbai",19.00324,72.828
Light House Cafe & Bar,"Chinese, Salad, Continental, Sandwich, Burger, Pizza, Pasta, Italian",4.1,"₹1,500 for two","Worli, Mumbai","Light House Cafe & Bar Worli, Mumbai",18.9943,72.81487
You Mee,"Chinese, Sushi, Beverages, Asian",4.5,"₹1,000 for two","Andheri Lokhandwala, Andheri West, Mumbai","You Mee Andheri Lokhandwala, Andheri West, Mumbai",19.13775,72.82562
Angrezi Patiyalaa,"North Indian, Mughlai, Chinese, Salad, Bar Food, Beverages",4.5,"₹1,900 for two","Korum Mall, Khopat, Thane West, Thane","Angrezi Patiyalaa Korum Mall, Khopat, Thane West, Thane",19.20301,72.96515
Cosy Box,"Mediterranean, Asian, Italian, Turkish, Seafood, European, North Indian, Desserts",4.0,"₹3,000 for two","Lower Parel, Mumbai","Cosy Box Lower Parel, Mumbai",18.99348,72.83122
Mato Mato,"Continental, Oriental, North Indian, Sandwich, Burger, Pizza, Pasta, Salad",4.3,"₹1,800 for two","Hiranandani Estate, Thane West, Thane","Mato Mato Hiranandani Estate, Thane West, Thane",19.26205,72.98486
1 BHK - Brew House Kitchen,"Continental, Salad, European, Italian, Fast Food, Modern Indian, Desserts",4.3,"₹1,900 for two","Oshiwara, Andheri West, Mumbai","1 BHK - Brew House Kitchen Oshiwara, Andheri West, Mumbai",19.1894,72.85596
The Earth Plate - Sahara Star,"Italian, Asian, Mediterranean, North Indian",4.0,"₹5,000 for two","Sahara Star, Vile Parle East, Mumbai","The Earth Plate - Sahara Star Sahara Star, Vile Parle East, Mumbai",19.09539,72.85549
Grandmama's Cafe,"Cafe, Italian, Continental, American, Burger, Pizza, Fast Food, Beverages",4.0,"₹1,600 for two","Juhu, Mumbai","Grandmama's Cafe Juhu, Mumbai",19.09142,72.82784
Shizusan,"Japanese, Asian, Korean, Desserts, Chinese, Beverages",4.4,"₹2,500 for two","Phoenix Marketcity, Kurla, Mumbai","Shizusan Phoenix Marketcity, Kurla, Mumbai",19.0862,72.88847
Basil & Beans,"North Indian, Pasta, Pizza, Italian, Desserts, Continental, Street Food, Bakery",4.5,₹600 for two,"Turbhe, Navi Mumbai","Basil & Beans Turbhe, Navi Mumbai",19.07385,73.03292
Juliette Ristorante & Bar,"European, Italian, Desserts, Pizza, Pasta, Continental",4.4,"₹2,500 for two","Oshiwara, Andheri West, Mumbai","Juliette Ristorante & Bar Oshiwara, Andheri West, Mumbai",19.14004,72.82916
Kyma,"Mediterranean, Asian",4.2,"₹3,000 for two","Bandra Kurla Complex, Mumbai","Kyma Bandra Kurla Complex, Mumbai",19.06019,72.86464
Pizza By The Bay,"Italian, Fast Food, Beverages",4.1,"₹2,500 for two","Churchgate, Mumbai","Pizza By The Bay Churchgate, Mumbai",18.93332,72.8238
Butterfly High,"Continental, Mughlai, North Indian, Bar Food, Asian, Modern Indian",4.5,"₹2,100 for two","Oshiwara, Andheri West, Mumbai","Butterfly High Oshiwara, Andheri West, Mumbai",19.15193,72.83194
The Atrangii House Sky Lounge,"Chinese, Asian, Sushi, Seafood, North Indian, Oriental, Fast Food, Desserts",4.3,"₹1,800 for two","Sanpada, Navi Mumbai","The Atrangii House Sky Lounge Sanpada, Navi Mumbai",19.05758,73.00263
Angrezi Dhaba,"North Indian, Mughlai, Chinese, Seafood, Pasta, Biryani, Bar Food, Desserts",4.2,"₹1,500 for two","Mahakali, Mumbai","Angrezi Dhaba Mahakali, Mumbai",19.12382,72.86433
Nusara - Ramee Guestline Hotel,"Asian, Rolls, Pizza, Chinese, Desserts",4.3,"₹2,000 for two","Ramee Guestline Hotel, Juhu, Mumbai","Nusara - Ramee Guestline Hotel Ramee Guestline Hotel, Juhu, Mumbai",19.10929,72.82548
Cream Centre - Veg Bistro,"North Indian, Street Food",3.6,"₹1,900 for two","Inorbit Mall, Malad West, Mumbai","Cream Centre - Veg Bistro Inorbit Mall, Malad West, Mumbai",19.173,72.83569
Mekada Tapas & Cocktail Bar,"Italian, Continental, North Indian, Bar Food, Asian, Chinese, Mexican",4.5,"₹1,800 for two","Vashi, Navi Mumbai","Mekada Tapas & Cocktail Bar Vashi, Navi Mumbai",19.0664,73.00046
Buzz N Banter,"Chinese, North Indian, Biryani, Italian, South Indian, Seafood, Kebab",4.5,"₹1,000 for two","Kopar Khairane, Navi Mumbai","Buzz N Banter Kopar Khairane, Navi Mumbai",19.10531,73.00427
1522 - Bar And Kitchen,"North Indian, Continental, Chinese, Modern Indian, Sichuan, Italian, Desserts, Beverages",4.3,"₹1,800 for two","Goldfinch Hotel, Mahakali, Mumbai","1522 - Bar And Kitchen Goldfinch Hotel, Mahakali, Mumbai",19.11975,72.87019
The Studs Sports Bar & Grill,"Modern Indian, Continental, Bar Food, Pizza, Thai, Desserts, Beverages",3.9,"₹1,200 for two","Wagle Estate, Thane West, Thane","The Studs Sports Bar & Grill Wagle Estate, Thane West, Thane",19.18839,72.95515
Luuma House,"Continental, Italian, North Indian, Asian, Beverages, Desserts",New,"₹1,500 for two","Juhu, Mumbai","Luuma House Juhu, Mumbai",19.08617,72.82797
Sunday The Comfort Kitchen,"Continental, Chinese, Oriental, Italian, Burger, North Indian, Asian, Desserts",4.5,"₹1,400 for two","Borivali West, Mumbai","Sunday The Comfort Kitchen Borivali West, Mumbai",19.2497,72.8487
Aqua,"North Indian, Mediterranean, Sandwich, Wraps, Burger, Desserts",4.3,"₹1,500 for two","CBD-Belapur, Navi Mumbai","Aqua CBD-Belapur, Navi Mumbai",19.025,73.037
Gosssip Corner Cafe Resto,"Mexican, Cafe, Panini, Chinese, Momos, Arabian, Desserts, Beverages",4.3,"₹1,500 for two","Dahisar West, Mumbai","Gosssip Corner Cafe Resto Dahisar West, Mumbai",19.25837,72.85307
Effingut,"Mexican, Continental, North Indian, Beverages",4.4,"₹3,000 for two","Colaba, Mumbai","Effingut Colaba, Mumbai",18.92396,72.8329
Kalinda,"North Indian, Cantonese, Kebab, Mughlai, Rolls, Salad, Street Food, Beverages",4.3,"₹1,800 for two","Malad West, Mumbai","Kalinda Malad West, Mumbai",19.17633,72.8373
Rustico,"North Indian, Chinese, Continental, Italian, Pizza, Beverages",3.8,"₹1,400 for two","Fort, Mumbai","Rustico Fort, Mumbai",18.92956,72.8348
Farzi Cafe,"North Indian, Continental",4.0,"₹3,500 for two","Oberoi Mall, Goregaon East, Mumbai","Farzi Cafe Oberoi Mall, Goregaon East, Mumbai",19.17393,72.86056
Deja Woo,"Sushi, Continental, Desserts, Bar Food, Salad, Beverages, North Indian, Lebanese",4.0,"₹2,000 for two","Inorbit Mall, Malad West, Mumbai","Deja Woo Inorbit Mall, Malad West, Mumbai",19.17409,72.84422
Sigree Global Grill,"North Indian, Biryani, Beverages",4.1,"₹1,950 for two","Ventura Building, Powai, Mumbai","Sigree Global Grill Ventura Building, Powai, Mumbai",19.11674,72.90984
Fisco Restobar,"North Indian, Italian, Asian, Chinese, Fast Food, Biryani, Desserts, Beverages",4.4,"₹1,800 for two","Kandivali West, Mumbai","Fisco Restobar Kandivali West, Mumbai",19.21239,72.84617
Fisco Hub Restobar,"Chinese, Salad, North Indian, Asian, Continental, Italian, Desserts, Beverages",4.1,"₹1,900 for two","Borivali West, Mumbai","Fisco Hub Restobar Borivali West, Mumbai",19.24286,72.84472
Ihop,"Pancake, Burger, Steak, Healthy Food, American, Desserts, Shake, Coffee",4.2,"₹1,000 for two","Palladium Mall, Lower Parel, Mumbai","Ihop Palladium Mall, Lower Parel, Mumbai",18.99477,72.8246
Mag St.,"Pizza, Asian, Continental, Bakery, Beverages, Burger, Cafe, European",3.1,"₹3,000 for two","Linking Road, Bandra West, Mumbai","Mag St. Linking Road, Bandra West, Mumbai",19.06246,72.83557
Spotlight Skydeck,"North Indian, Italian, Fast Food, Chinese, Bar Food, Street Food, Desserts, Beverages",4.3,"₹1,800 for two","Wagle Estate, Thane West, Thane","Spotlight Skydeck Wagle Estate, Thane West, Thane",19.189,72.95486
Sea Fire Salt,"Seafood, Maharashtrian, North Indian, Mughlai, Biryani, Desserts, Bar Food",4.5,"₹1,300 for two","Wagle Estate, Thane West, Thane","Sea Fire Salt Wagle Estate, Thane West, Thane",19.19775,72.95598
Burma Burma,"Burmese, Asian, Salad, Bubble Tea, Desserts",New,"₹1,800 for two","Goregaon East, Mumbai","Burma Burma Goregaon East, Mumbai",19.17381,72.86059
Taftoon Bar & Kitchen,"North Indian, Lucknowi, Bengali, Kashmiri, Bihari, Beverages",4.4,"₹3,000 for two","Bandra Kurla Complex, Mumbai","Taftoon Bar & Kitchen Bandra Kurla Complex, Mumbai",19.06046,72.86279
PAUL,"Cafe, Coffee, French, Continental, Italian, Desserts, Beverages",3.8,"₹1,500 for two","Lower Parel, Mumbai","PAUL Lower Parel, Mumbai",18.99491,72.82452
Tuya's,"North Indian, Salad, Kebab, Italian, Chinese, Street Food, Asian, Pizza",New,"₹1,400 for two","Juhu, Mumbai","Tuya's Juhu, Mumbai",19.10874,72.82646
Tunak Tunak Tunn,"North Indian, Chinese, Kebab, Fast Food, Mughlai, Biryani, Desserts, Beverages",4.2,"₹1,300 for two","Mulund West, Mumbai","Tunak Tunak Tunn Mulund West, Mumbai",19.17172,72.94301
Foo Thane,"Chinese, Sushi, Asian, Japanese, Desserts",4.5,"₹2,000 for two","Viviana Mall, Majiwada, Thane West, Thane","Foo Thane Viviana Mall, Majiwada, Thane West, Thane",19.20984,72.97186
East Asia - Indian | Asian | Continental,"Asian, Chinese, North Indian, Sushi, Continental, Pizza, Pasta, Sichuan",4.5,"₹1,800 for two","Borivali West, Mumbai","East Asia - Indian | Asian | Continental Borivali West, Mumbai",19.2315,72.8624
TAB - Thoughtful American Bistronomy,"American, Mexican, Desserts",4.5,"₹1,800 for two","Lower Parel, Mumbai","TAB - Thoughtful American Bistronomy Lower Parel, Mumbai",18.99505,72.82386
Corkage & Co.,"American, Andhra, Asian, Arabian, Afghani, Biryani",New,"₹1,000 for two","Powai, Mumbai","Corkage & Co. Powai, Mumbai",19.1178,72.88958
Courtyard Pavilion - Courtyard By Marriott Navi Mumbai,"Continental, Asian, North Indian, Italian, South Indian, Fast Food, Desserts",4.4,"₹3,200 for two","Nerul, Navi Mumbai","Courtyard Pavilion - Courtyard By Marriott Navi Mumbai Nerul, Navi Mumbai",19.04334,73.02699
Western Tadka,"Chinese, South Indian, Street Food, Sandwich, Italian, Salad, Desserts, Beverages",4.0,"₹1,200 for two","Borivali West, Mumbai","Western Tadka Borivali West, Mumbai",19.22379,72.84132
Pondichery Cafe - Sofitel,"North Indian, European, Asian, French, Healthy Food, Beverages, Desserts",4.0,"₹3,000 for two","Sofitel, Bandra Kurla Complex, Mumbai","Pondichery Cafe - Sofitel Sofitel, Bandra Kurla Complex, Mumbai",19.06774,72.86913
Bohoba,"Modern Indian, Asian, Italian, European, Desserts, Beverages",4.5,"₹1,500 for two","Malad West, Mumbai","Bohoba Malad West, Mumbai",19.17825,72.83405
British Brewing Company,"British, Italian, Fast Food, Continental, Chinese, Pizza, Salad, Desserts",4.2,"₹1,800 for two","Times Square, Marol, Mumbai","British Brewing Company Times Square, Marol, Mumbai",19.00082,72.82974
Punjab Grill,"North Indian, Kebab, Biryani, Desserts",4.5,"₹1,700 for two","Andheri Lokhandwala, Andheri West, Mumbai","Punjab Grill Andheri Lokhandwala, Andheri West, Mumbai",19.13416,72.82561
Mannrangi,"Finger Food, Italian, North Indian, Biryani, Seafood, Mughlai, Desserts",4.4,"₹1,800 for two","Goregaon West, Mumbai","Mannrangi Goregaon West, Mumbai",19.17362,72.8388
Toit,"Continental, South Indian, Italian, Fast Food, Desserts",4.5,"₹2,500 for two","Lower Parel, Mumbai","Toit Lower Parel, Mumbai",19.00107,72.82978
Prithvi Cafe,"North Indian, Bakery, Biryani, Pasta, Rolls, Beverages, Fast Food",4.3,₹600 for two,"Juhu, Mumbai","Prithvi Cafe Juhu, Mumbai",19.10644,72.82614
Chimichurri,"Chinese, Sushi, Asian, Thai, Japanese, Seafood, Beverages",4.5,"₹2,000 for two","Times Square, Marol, Mumbai","Chimichurri Times Square, Marol, Mumbai",19.14133,72.83331
Badmaash,Modern Indian,New,"₹2,500 for two","Kamala Mills Compound, Mumbai","Badmaash Kamala Mills Compound, Mumbai",19.00387,72.8276
The Stables - Peninsula Redpine,"North Indian, Continental, Chinese, Italian, Beverages, Desserts",4.3,"₹3,500 for two","Peninsula Redpine, Marol, Mumbai","The Stables - Peninsula Redpine Peninsula Redpine, Marol, Mumbai",19.10967,72.87601
House Of Mandarin,"Asian, Chinese, Japanese, Seafood, Desserts, Oriental, Beverages",4.3,"₹2,500 for two","Powai, Mumbai","House Of Mandarin Powai, Mumbai",19.12008,72.90905
Bo Reverie,"North Indian, Continental, Japanese, Thai, Asian",4.3,"₹1,500 for two","Borivali West, Mumbai","Bo Reverie Borivali West, Mumbai",19.2233,72.8405
Hana Pan Asian Kitchen and Bar,"Asian, Chinese, Sushi, Desserts, Cantonese, Japanese, Korean, Thai",4.5,"₹1,600 for two","Naupada, Thane West, Thane","Hana Pan Asian Kitchen and Bar Naupada, Thane West, Thane",19.19197,72.97278
Purple Penguin,"Continental, Modern Indian, Bar Food, Pizza, Chinese, Finger Food, North Indian, Beverages",3.7,"₹1,450 for two","Veera Desai Area, Mumbai","Purple Penguin Veera Desai Area, Mumbai",19.13911,72.83343
Copper Chimney,"North Indian, Mughlai, Biryani, Kebab, Desserts, Beverages",4.4,"₹1,600 for two","Juhu, Mumbai","Copper Chimney Juhu, Mumbai",19.09332,72.82817
Liv Eatery & Bar,"Asian, Continental, Mediterranean, North Indian, Italian, Chinese, Sushi, Desserts",4.2,"₹1,600 for two","Wagle Estate, Thane West, Thane","Liv Eatery & Bar Wagle Estate, Thane West, Thane",19.1876,72.95391
La Loca Maria,"Spanish, European, Italian, Tea, Coffee, Beverages",4.3,"₹4,500 for two","Pali Hill, Bandra West, Mumbai","La Loca Maria Pali Hill, Bandra West, Mumbai",19.05943,72.82939
Sesame - Hyatt Centric Juhu Mumbai,"Asian, Sushi, Sandwich, Pizza, Healthy Food, Salad, Beverages, Desserts",4.6,"₹2,150 for two","Juhu, Mumbai","Sesame - Hyatt Centric Juhu Mumbai Juhu, Mumbai",19.09156,72.82786
The Irish House,"Continental, Mediterranean, BBQ, Coffee",4.2,"₹2,500 for two","Inorbit Mall, Malad West, Mumbai","The Irish House Inorbit Mall, Malad West, Mumbai",19.173,72.83587
Indian Accent,"Modern Indian, North Indian, Desserts, Cafe, Tea, Beverages",3.8,"₹6,000 for two","Bandra Kurla Complex, Mumbai","Indian Accent Bandra Kurla Complex, Mumbai",19.06631,72.86369
Zaika Restaurant & Party Hall,"North Indian, South Indian, Chinese, Continental, Biryani, Italian, Ice Cream, Beverages",4.2,₹800 for two,"Bhayandar, Mumbai","Zaika Restaurant & Party Hall Bhayandar, Mumbai",19.29501,72.84989
Facing East,"Asian, Chinese, Sushi, Rolls, Salad, Desserts, Beverages",4.6,"₹1,700 for two","Oshiwara, Andheri West, Mumbai","Facing East Oshiwara, Andheri West, Mumbai",19.15121,72.83281
Kalp,"North Indian, Asian, Mughlai, Korean, Italian, Desserts",4.1,"₹1,500 for two","Airoli, Navi Mumbai","Kalp Airoli, Navi Mumbai",19.15556,72.99828
Mansionairre By The Roof,"North Indian, Asian, Chinese, Continental, Italian, Japanese, Lebanese",New,"₹2,000 for two","Wagle Estate, Thane West, Thane","Mansionairre By The Roof Wagle Estate, Thane West, Thane",19.19459,72.95448
Indian BBQ Co.,"BBQ, Finger Food, Street Food, Desserts",4.6,"₹1,700 for two","Veera Desai Area, Mumbai","Indian BBQ Co. Veera Desai Area, Mumbai",19.13617,72.83334
PizzaExpress,"Pizza, Bakery, Italian, Salad, Coffee, Beverages",4.3,"₹1,400 for two","Viviana Mall, Majiwada, Thane West, Thane","PizzaExpress Viviana Mall, Majiwada, Thane West, Thane",19.20984,72.97186
Òsteria,"Continental, European, Italian, Mexican, Pizza, Asian, Desserts, Beverages",4.5,"₹2,000 for two","Veera Desai Area, Mumbai","Òsteria Veera Desai Area, Mumbai",19.1366,72.83746
The Yellow Chilli,"North Indian, Mughlai, Biryani, Chinese, Continental, Desserts, Beverages",4.1,"₹1,800 for two","Star Mall, Dadar West, Mumbai","The Yellow Chilli Star Mall, Dadar West, Mumbai",19.02293,72.84195
The Kerala Table,"Kerala, Seafood, Biryani, Chinese, Desserts, Beverages",4.5,"₹1,200 for two","Vashi, Navi Mumbai","The Kerala Table Vashi, Navi Mumbai",19.08522,73.00758
Cafe Delhi Heights,"Continental, Italian, Oriental, North Indian, Seafood, Street Food",4.5,"₹1,500 for two","Malad West, Mumbai","Cafe Delhi Heights Malad West, Mumbai",19.173,72.83569
Sirocco,"Finger Food, North Indian, Pizza, Pasta, Salad, Chinese, Coffee, Beverages",4.1,"₹1,800 for two","Versova, Andheri West, Mumbai","Sirocco Versova, Andheri West, Mumbai",19.13637,72.81012
The Nest,"European, Asian, Lebanese, Continental, Cafe, Salad",4.1,₹900 for two,"Hill Road, Bandra West, Mumbai","The Nest Hill Road, Bandra West, Mumbai",19.05992,72.82956
Rasoi Kitchen & Bar,"North Indian, Seafood, Chinese, Maharashtrian, Asian, Desserts",4.1,"₹1,800 for two","Khar, Mumbai","Rasoi Kitchen & Bar Khar, Mumbai",19.06858,72.83912
Rikē - Terrace Bar & Grill,"Continental, Mexican, Mediterranean, Asian, Pizza, Italian, North Indian, Beverages",4.2,"₹2,000 for two","Veera Desai Area, Mumbai","Rikē - Terrace Bar & Grill Veera Desai Area, Mumbai",19.13624,72.83343
PizzaExpress,"Pizza, Bakery, Italian, Salad, Coffee, Beverages",4.4,"₹1,400 for two","First International Financial Centre, Bandra Kurla Complex, Mumbai","PizzaExpress First International Financial Centre, Bandra Kurla Complex, Mumbai",19.06941,72.86959
The Terrace - A Maiden Affair,"Continental, Italian, Chinese, Fast Food, Salad, Desserts",4.4,"₹1,800 for two","Andheri Lokhandwala, Andheri West, Mumbai","The Terrace - A Maiden Affair Andheri Lokhandwala, Andheri West, Mumbai",19.13911,72.83343
Que Sera Sera,"Continental, Italian, Salad, European, Desserts, Beverages",New,"₹1,800 for two","Andheri Lokhandwala, Andheri West, Mumbai","Que Sera Sera Andheri Lokhandwala, Andheri West, Mumbai",19.13986,72.83147
Jyran - Sofitel,"Desserts, Mughlai, North Indian",4.3,"₹4,000 for two","Sofitel, Bandra Kurla Complex, Mumbai","Jyran - Sofitel Sofitel, Bandra Kurla Complex, Mumbai",19.06821,72.86939
Versova Vibes Cafe,"North Indian, Chinese, Sichuan, Seafood, Kebab, Biryani, Mughlai, Fast Food",4.1,"₹1,000 for two","Andheri Lokhandwala, Andheri West, Mumbai","Versova Vibes Cafe Andheri Lokhandwala, Andheri West, Mumbai",19.12938,72.8257
Fusion Ville,"North Indian, Oriental, Pizza, Pasta, Kebab, Chinese, Mughlai, Beverages",4.3,"₹1,000 for two","Marol, Mumbai","Fusion Ville Marol, Mumbai",19.10103,72.83928
Toast - Bistro & Bar,"Continental, Italian, North Indian, Asian, Thai, Seafood, Desserts, Beverages",4.6,"₹2,500 for two","T24 Residency, Marol, Mumbai","Toast - Bistro & Bar T24 Residency, Marol, Mumbai",19.1108,72.87471
Ocean Kitchen Fine Dine,"Seafood, North Indian, Continental, Oriental, Asian, Desserts, Chinese, Sushi",4.2,"₹1,200 for two","Malad West, Mumbai","Ocean Kitchen Fine Dine Malad West, Mumbai",19.17945,72.83631
Mangii Ferra,"Italian, Continental, Salad, Pizza, Pasta, Desserts, Beverages",4.4,"₹3,000 for two","Juhu, Mumbai","Mangii Ferra Juhu, Mumbai",19.11388,72.83537
Sorozai - Goan Bar & Restaurant,"Bar Food, Goan, Seafood, Mexican, Salad",4.4,"₹1,200 for two","Versova, Andheri West, Mumbai","Sorozai - Goan Bar & Restaurant Versova, Andheri West, Mumbai",19.13111,72.8139
1441 Pizzeria,"Pizza, Pasta, Italian, Desserts, Beverages",4.5,"₹1,400 for two","Fort, Mumbai","1441 Pizzeria Fort, Mumbai",18.92785,72.83242
Open Your Soda Bottle,"North Indian, Chinese, Continental",3.9,"₹1,000 for two","Malad West, Mumbai","Open Your Soda Bottle Malad West, Mumbai",19.17847,72.83647
Miniyaturk,"Mediterranean, Italian, Desserts, Mexican, Asian, Chinese, Lebanese, Middle Eastern",4.9,"₹1,800 for two","Veera Desai Area, Mumbai","Miniyaturk Veera Desai Area, Mumbai",19.13988,72.83483
Tiger Yaki,"Japanese, Asian",3.6,₹500 for two,"Oshiwara, Andheri West, Mumbai","Tiger Yaki Oshiwara, Andheri West, Mumbai",19.14678,72.82925
Nadara,"Bar Food, Continental, Chinese, Salad",4.1,"₹1,100 for two","Goregaon East, Mumbai","Nadara Goregaon East, Mumbai",19.13336,72.89554
O Pedro,"Goan, Sandwich, Finger Food, Desserts, Beverages",4.8,"₹3,500 for two","Jet Airways Godrej, Bandra Kurla Complex, Mumbai","O Pedro Jet Airways Godrej, Bandra Kurla Complex, Mumbai",19.05952,72.86514
Mainland China,"Chinese, Asian, Seafood, Japanese, Sushi, Desserts, Beverages",4.5,"₹2,000 for two","Veera Desai Area, Mumbai","Mainland China Veera Desai Area, Mumbai",19.14169,72.83252
Cafe Panama,"Mexican, Salad, Sandwich, Burger, Desserts",4.3,"₹2,000 for two","Lower Parel, Mumbai","Cafe Panama Lower Parel, Mumbai",18.99961,72.83069
La Veggie,"North Indian, Continental, Chinese, Italian, Mexican, Pizza, Pasta, Beverages",4.1,"₹1,700 for two","Chowpatty, Mumbai","La Veggie Chowpatty, Mumbai",18.95604,72.81376
The Food Studio,"North Indian, Chinese, Biryani, Kebab, Asian, Pizza, Pasta",New,"₹1,600 for two","Manpada, Thane West, Thane","The Food Studio Manpada, Thane West, Thane",19.2362,72.97254
Shelter By Javaphile Cafe,"Bakery, Salad, Desserts, Beverages, Burger, Pizza",4.3,"₹1,000 for two","Versova, Andheri West, Mumbai","Shelter By Javaphile Cafe Versova, Andheri West, Mumbai",19.13156,72.81365
Food Exchange By Novotel,"North Indian, Chinese, Pasta, Pizza, Asian",4.2,"₹3,500 for two","Chakala, Mumbai","Food Exchange By Novotel Chakala, Mumbai",19.10747,72.88313
Mia Cuccinna,"American, Pizza, Italian, Pasta, Panini, Salad, Beverages, Desserts",4.0,"₹3,000 for two","Hill Road, Bandra West, Mumbai","Mia Cuccinna Hill Road, Bandra West, Mumbai",19.05992,72.82956
The Brasserie - Hilton Mumbai International Airport,"North Indian, Mughlai, Continental, Salad, Chinese, Shake, Beverages, Desserts",4.1,"₹3,500 for two","Hilton Mumbai International Airport, Chakala, Mumbai","The Brasserie - Hilton Mumbai International Airport Hilton Mumbai International Airport, Chakala, Mumbai",19.10444,72.87067
Kake Di Hatti,"North Indian, Chinese, Pasta, Fast Food, Desserts, Beverages",3.9,₹800 for two,"Andheri Lokhandwala, Andheri West, Mumbai","Kake Di Hatti Andheri Lokhandwala, Andheri West, Mumbai",19.13775,72.82562
Nosh & Beyond,"Continental, Italian, Mexican, Middle Eastern, North Indian, Salad, Desserts, Beverages",4.7,"₹1,200 for two","Marol, Mumbai","Nosh & Beyond Marol, Mumbai",19.11274,72.88383
Makabo,"Chinese, North Indian, Pizza, Rolls, Beverages",4.3,"₹1,750 for two","Kandivali West, Mumbai","Makabo Kandivali West, Mumbai",19.20609,72.83513
Mastee,"Japanese, North Indian, Italian, Continental, Chinese, Fast Food, Desserts, Beverages",4.3,"₹2,500 for two","Borivali West, Mumbai","Mastee Borivali West, Mumbai",19.22367,72.84115
Fifty Five East - Grand Hyatt Mumbai Hotel & Residences,"Thai, Lebanese, Japanese, Asian, Chinese, North Indian, Mughlai",4.3,"₹5,000 for two","Grand Hyatt Mumbai & Residences, Santacruz East, Mumbai","Fifty Five East - Grand Hyatt Mumbai Hotel & Residences Grand Hyatt Mumbai & Residences, Santacruz East, Mumbai",19.07767,72.85122
Lyke,"Asian, North Indian, Chinese, Sushi, Japanese, Continental, Pasta, Pizza",4.1,"₹1,600 for two","Mulund West, Mumbai","Lyke Mulund West, Mumbai",19.16336,72.94074
Tim Hortons,"Coffee, Sandwich, Cafe, Beverages",4.0,₹700 for two,"Oshiwara, Andheri West, Mumbai","Tim Hortons Oshiwara, Andheri West, Mumbai",19.14322,72.83192
Indiana Water's,"North Indian, Mughlai, Seafood, Chinese, Kebab, Asian, Biryani, Desserts",4.3,"₹1,400 for two","Viviana Mall, Majiwada, Thane West, Thane","Indiana Water's Viviana Mall, Majiwada, Thane West, Thane",19.20869,72.97145
Rasoi,"North Indian, Seafood, Chinese, Desserts, Beverages, Malwani, Asian, Maharashtrian",4.5,"₹1,800 for two","Dadar East, Mumbai","Rasoi Dadar East, Mumbai",19.00893,72.84082
Magnolia Bakery,"Bakery, Desserts, Beverages",3.2,₹500 for two,"Pali Hill, Bandra West, Mumbai","Magnolia Bakery Pali Hill, Bandra West, Mumbai",19.05466,72.82647
Origami Japanese And Korean Restaurant,"Japanese, Korean, Sushi, BBQ, Rolls",4.3,"₹2,500 for two","Supreme Business Park, Powai, Mumbai","Origami Japanese And Korean Restaurant Supreme Business Park, Powai, Mumbai",19.11113,72.90821
Al Ayamna,"North Indian, Chinese, Mughlai, Arabian, Turkish, Biryani, Desserts",4.2,"₹1,400 for two","Jogeshwari, Mumbai","Al Ayamna Jogeshwari, Mumbai",19.14627,72.84585
